new_id,lodge_name_raw
1,Polaris Lodge
2,Craig yr Hesg Lodge
3,Royal Engineers Lodge
4,Daybrook Lodge
5,Loge Francais
6,Ringway Lodge
7,Broughton Lodge
8,Fortior Lodge
9,Lodge of Unity
10,Percy Lodge
12,United Wards Lodge
13,Con Amore Lodge
14,Thornhill Lodge
15,Lodge of Charity
16,Marquis of Granby Lodge
17,United Progress Lodge
18,Caveac Lodge
19,Lodge of Unity
20,Sussex Motorcycling Lodge
21,Twelve Brothers' Lodge
22,Achilles University Lodge
23,Royal Artillery Fort George
24,Lodge Singapore
25,St. Paul's Lodge
26,Harrow Progress Lodge
27,Lodge la Tolerance
28,Heddon-on-the-Wall Lodge
29,Lodge of Living Stones
30,Hedworth Lodge
31,St. Cuthbert Lodge
23,Bombay Lodge No. 3
12885,Armed Forces Lodge of Lincolnshire
12886,East Sussex Services Lodge
12887,Vale Europeu Lodge
12888,Harmonia Lodge
12889,Asclepius Lodge of Medical Professionals
12890,Essex County Golf Lodge
12891,African Diaspora Lodge
12892,Brian Bellinger Lodge of Installed Masters
12893,East Kent Motorcycle Lodge
12894,Anglers Lodge
12895,St. Joseph's & La Salle Lodge
12896,Cornerstone Lodge
12897,Rock Music Lodge
12898,Tenbury Wells Summer Lodge
12899,Gambrinus Lodge
12900,Diocesan Schools Lodge of Hong Kong
12901,Iron Bridge Lodge
12902,Bristol Motorcycle Lodge
12903,Epicurean Lodge
12904,Aconcagua Lodge
12905,Lodge Helios
12906,Dragon Lodge
12907,Leather on Willow Lodge
12908,Football Lodge South West
12909,Saint Cecilia Lodge
12910,Motoring Lodge of Norfolk
12911,St. Hubert Lodge
12912,Buckinghamshire Football Lodge
12913,Phoenix Lodge
12914,Straits of Magellan Lodge
12915,Cavalry Lodge